id,name,segment,primaryMuscle,muscleGroups,equipment,movement,imageUrl,sourceCategory,sourceFilename
abdomen-crunch-en-banco,Crunch en Banco,core,abdomen,"abdomen, core",Banco / peso corporal,core,/exercises/abdomen-crunch-en-banco.jpg,ABDOMEN,CRUNCH EN BANCO.jpg
abdomen-elevacion-de-piernas-con-mancuerna,Elevación de Piernas con Mancuerna,core,abdomen,"abdomen, flexores de cadera, core",Mancuerna / banco,core,/exercises/abdomen-elevacion-de-piernas-con-mancuerna.jpg,ABDOMEN,ELEVACION DE PIERNAS CON MANCUERNA.jpg
abdomen-encogimiento-en-polea-alta,Encogimiento en Polea Alta,core,abdomen,"abdomen, core",Polea alta,core,/exercises/abdomen-encogimiento-en-polea-alta.jpg,ABDOMEN,ENCOGIMIENTO EN POLEA ALTA.jpg
abdomen-escaladora-abdominal,Escaladora Abdominal,core,abdomen,"abdomen, core, cardio",Peso corporal,core,/exercises/abdomen-escaladora-abdominal.jpg,ABDOMEN,ESCALADORA ABS.jpg
abdomen-sit-ups,Sit Ups,core,abdomen,"abdomen, core",Peso corporal,core,/exercises/abdomen-sit-ups.jpg,ABDOMEN,SIT UPS.jpg
abdomen-crunch-abdominal-en-suelo,Crunch Abdominal en Suelo,core,abdomen,"abdomen, core",Peso corporal,core,/exercises/abdomen-crunch-abdominal-en-suelo.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.02 PM (1).jpeg
oblicuos-crunch-oblicuo,Crunch Oblicuo,core,oblicuos,"oblicuos, abdomen, core",Peso corporal,core,/exercises/oblicuos-crunch-oblicuo.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.02 PM (2).jpeg
oblicuos-plancha-lateral,Plancha Lateral,core,oblicuos,"oblicuos, abdomen, core",Peso corporal,core,/exercises/oblicuos-plancha-lateral.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.02 PM (3).jpeg
abdomen-plancha-frontal,Plancha Frontal,core,abdomen,"abdomen, core, hombro",Peso corporal,core,/exercises/abdomen-plancha-frontal.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.02 PM (4).jpeg
abdomen-rueda-abdominal-de-rodillas,Rueda Abdominal de Rodillas,core,abdomen,"abdomen, core, dorsal",Rueda abdominal,core,/exercises/abdomen-rueda-abdominal-de-rodillas.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.02 PM (5).jpeg
oblicuos-rotacion-de-tronco-en-polea,Rotación de Tronco en Polea,core,oblicuos,"oblicuos, abdomen, core",Polea,core,/exercises/oblicuos-rotacion-de-tronco-en-polea.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.02 PM.jpeg
abdomen-elevacion-de-piernas-acostado,Elevación de Piernas Acostado,core,abdomen,"abdomen, flexores de cadera, core",Peso corporal,core,/exercises/abdomen-elevacion-de-piernas-acostado.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.03 PM (2).jpeg
abdomen-crunch-inverso,Crunch Inverso,core,abdomen,"abdomen, core",Peso corporal,core,/exercises/abdomen-crunch-inverso.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.03 PM (3).jpeg
abdomen-plancha-con-fitball,Plancha con Fitball,core,abdomen,"abdomen, core, estabilizadores",Fitball,core,/exercises/abdomen-plancha-con-fitball.jpg,ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.03 PM (4).jpeg
