category,filename,reason
ABDOMEN,CRUNCH EN BANCO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ABDOMEN,ELEVACION DE PIERNAS CON MANCUERNA (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ABDOMEN,ENCOGIMIENTO EN POLEA ALTA (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ABDOMEN,WhatsApp Image 2026-06-22 at 12.57.03 PM (1).jpeg,"No seleccionada por ser repetición visual, fase secundaria o variante ya cubierta por un ejercicio equivalente."
BICEPS,CURL 21 (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
BICEPS,CURL AGARRE PRONO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
BICEPS,CURL BANCO INCLINADO (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
BICEPS,CURL BICEPS BOCA ABAJO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
BICEPS,PREDICADOR (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
CARDIO,BURPEES (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
CARDIO,BURPEES.jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
CARDIO,SALTOS (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
CARDIO,SKIPPING (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,BARRA T (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,BARRA T LIBRE (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,DOMINADAS (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,FLY POSTERIOR (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,JALON A LA CARA (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,PULL OVER (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,REMO AGARRE SUPINO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,REMO ALTO AGARRE V (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,REMO BAJO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,REMO CON MANCUERNA (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,REMO EN POLEA CON BARRA (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
ESPALDA,REMO INCLINADO (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
GLUTEO,BULGARA (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
GLUTEO,HIP THRUST (2).jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
GLUTEO,PATA EN POLEA.jpeg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
HOMBRO,ELEVACION FRONTAL (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
HOMBRO,ELEVACION FRONTAL EN INCLINADO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
HOMBRO,ELEVACION FRONTAL EN POLEA (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
HOMBRO,ELEVACION LATERAL EN INCLINADO (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
HOMBRO,ELEVACION UNILATERAL (2).jpg,Imagen repetida o fase secundaria del mismo ejercicio; se conservó solo una imagen representativa.
